epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.613,1.08183,3.24935,1.71983,0.44337,0.42879,0.35744,0.20127,1.3198,2.44759,2.39266,0.00019541,0.00019541,0.00019541
2,279.928,1.00177,2.01784,1.63793,0.43649,0.42267,0.41105,0.23173,1.29171,2.18193,2.30559,0.00038366,0.00038366,0.00038366
3,418.608,1.01004,1.91049,1.64355,0.41768,0.46488,0.42056,0.21928,1.43423,2.06329,2.37182,0.000564148,0.000564148,0.000564148
4,553.151,0.99559,1.84222,1.62367,0.38571,0.58118,0.49582,0.30101,1.21727,1.77474,2.23515,0.000553073,0.000553073,0.000553073
5,688.08,0.9674,1.75061,1.59722,0.46668,0.59723,0.55054,0.34853,1.17357,1.65503,2.13104,0.00054143,0.00054143,0.00054143
6,823.645,0.93613,1.66451,1.57516,0.61838,0.59036,0.64415,0.40024,1.17815,1.46428,2.09024,0.000529788,0.000529788,0.000529788
7,962.254,0.90618,1.59479,1.54202,0.61862,0.6514,0.69504,0.48425,0.99426,1.29531,1.90876,0.000518146,0.000518146,0.000518146
8,1099.66,0.8825,1.52907,1.52295,0.66882,0.6692,0.7165,0.4825,1.08264,1.24429,1.98055,0.000506503,0.000506503,0.000506503
9,1237.97,0.86279,1.46093,1.50827,0.66928,0.69682,0.73722,0.50211,1.05338,1.17189,1.95882,0.000494861,0.000494861,0.000494861
10,1376.09,0.84402,1.4136,1.48606,0.70573,0.66594,0.74936,0.52464,1.01571,1.18102,1.90111,0.000483218,0.000483218,0.000483218
11,1520.26,0.84288,1.38386,1.48733,0.72337,0.65321,0.71366,0.51693,0.97536,1.21078,1.84265,0.000471576,0.000471576,0.000471576
12,1659.22,0.82291,1.3408,1.47103,0.75673,0.72915,0.80257,0.58252,0.93492,1.02207,1.80826,0.000459934,0.000459934,0.000459934
13,1799.47,0.81741,1.29635,1.46057,0.73703,0.72864,0.79595,0.56471,0.97378,1.0884,1.85075,0.000448291,0.000448291,0.000448291
14,1938.13,0.81158,1.26245,1.45675,0.73882,0.75116,0.83026,0.60876,0.90271,0.95203,1.77846,0.000436649,0.000436649,0.000436649
15,2079.27,0.7932,1.21938,1.44309,0.79172,0.69871,0.80525,0.57661,0.97573,1.00767,1.82747,0.000425006,0.000425006,0.000425006
16,2222.91,0.78638,1.19869,1.43621,0.78593,0.77679,0.84843,0.6109,0.93731,0.89818,1.8514,0.000413364,0.000413364,0.000413364
17,2364.4,0.77113,1.17976,1.42281,0.7869,0.75562,0.84475,0.62653,0.87184,0.89973,1.71999,0.000401722,0.000401722,0.000401722
18,2503.21,0.76828,1.15539,1.41985,0.80733,0.79194,0.86395,0.63086,0.90667,0.8914,1.76782,0.000390079,0.000390079,0.000390079
19,2648.29,0.76658,1.14316,1.42323,0.83445,0.80739,0.87951,0.6593,0.85494,0.81524,1.7017,0.000378437,0.000378437,0.000378437
20,2790.8,0.74592,1.08904,1.39595,0.81638,0.80708,0.87609,0.66512,0.83975,0.80352,1.6881,0.000366794,0.000366794,0.000366794
21,2931.63,0.73622,1.07346,1.39003,0.82014,0.80769,0.88293,0.66411,0.85495,0.84064,1.69497,0.000355152,0.000355152,0.000355152
